ID,Per,RAJ2000,DEJ2000,F555W,e_F555W,F814W,e_F814W,F350LP,e_F350LP,AmpV,AmpI
J121901.54+471638.0,25.194,184.756424,47.277225,25.513,0.09,24.051,0.091,,,0.526,0.379
J121852.89+471847.5,25.393,184.720367,47.313206,24.956,0.125,23.732,0.218,,,0.506,0.312
J121903.61+471556.9,25.563,184.765045,47.265816,24.812,0.079,23.628,0.079,,,0.489,0.32
J121903.81+471703.2,25.684,184.765869,47.284222,25.078,0.096,23.702,0.134,,,0.502,0.278
J121847.69+472121.8,25.738,184.6987,47.35606,24.148,0.062,23.204,0.08,,,0.418,0.243
J121853.68+471934.4,26.598,184.723663,47.326221,25.529,0.12,24.018,0.125,,,0.614,0.372
J121902.87+471811.9,26.658,184.761948,47.303307,24.733,0.138,23.703,0.14,,,0.619,0.395
J121847.16+471959.1,26.947,184.696487,47.333092,24.545,0.106,23.498,0.081,,,0.619,0.36
J121858.96+471511.5,27.061,184.745667,47.253185,24.878,0.085,23.778,0.083,,,0.584,0.318
J121853.91+471846.5,27.163,184.724625,47.312908,24.753,0.145,23.556,0.199,,,0.519,0.338
J121900.54+471649.5,27.596,184.752243,47.280403,25.019,0.07,23.77,0.079,,,0.544,0.415
J121859.92+471814.6,27.615,184.749664,47.304062,24.406,0.127,23.302,0.165,,,0.529,0.317
J121853.92+471839.8,28.223,184.72467,47.311047,24.845,0.231,23.695,0.192,,,0.564,0.361
J121855.41+471916.3,28.269,184.730865,47.321194,24.363,0.123,23.602,0.148,,,0.519,0.361
J121850.07+472104.1,28.297,184.708633,47.351147,24.619,0.086,23.539,0.081,,,0.608,0.39
J121903.04+471715.1,28.823,184.76265,47.287518,25.616,0.245,24.558,0.2,,,0.463,0.352
J121900.07+471540.2,29.198,184.750275,47.261162,24.215,0.078,23.263,0.079,,,0.629,0.379
J121852.59+471853.9,30.284,184.719131,47.314983,25.192,0.118,23.917,0.138,,,0.375,0.297
J121901.47+471638.7,30.665,184.756134,47.277416,25.605,0.146,24.029,0.133,,,0.438,0.264
J121905.39+471432.2,30.996,184.772446,47.242287,24.593,0.135,23.488,0.04,,,0.554,0.29
J121853.77+471843.0,30.999,184.72403,47.311932,24.741,0.165,23.408,0.143,,,0.525,0.307
J121849.86+472044.1,31.392,184.707733,47.345581,24.927,0.085,23.638,0.098,,,0.45,0.283
J121904.57+471653.5,31.41,184.769043,47.281517,25.034,0.088,23.533,0.076,,,0.604,0.345
J121859.82+471504.8,31.553,184.749237,47.251343,25.087,0.08,23.688,0.087,,,0.542,0.353
J121851.22+471921.4,31.819,184.713409,47.322605,23.919,0.071,23.008,0.093,,,0.516,0.31
J121925.12+471008.5,32.256,184.854675,47.169037,24.405,0.068,23.242,0.033,,,0.48,0.332
